Timestamp,AccX,AccY,AccZ,Heart_IR
14:46:52,-2864,904,16024,179
14:46:52,-2860,928,15884,160
14:46:52,-2896,908,15972,184
14:46:52,-2876,896,15992,174
14:46:52,-2772,876,16084,183
14:46:52,-2772,932,16148,183
14:46:52,-2808,944,16052,170
14:46:52,-2832,952,16028,181
14:46:52,-2884,880,16068,178
14:46:52,-2872,896,16080,176
14:46:52,-2768,880,16140,183
14:46:52,-2780,932,16052,173
14:46:52,-2756,920,15988,202
14:46:52,-2820,872,16128,182
14:46:52,-2780,820,16104,176
14:46:52,-2764,840,16096,202
14:46:52,-2780,868,16100,174
14:46:52,-2768,928,16120,175
14:46:52,-2840,872,16144,176
14:46:52,-2928,944,16088,183
14:46:52,-2884,860,16080,192
14:46:52,-2788,908,16064,176
14:46:53,-2732,908,16080,181
14:46:53,-2764,956,16048,180
14:46:53,-2816,884,16128,185
14:46:53,-2880,952,16128,159
14:46:53,-2868,904,16112,183
14:46:53,-2856,872,16088,181
14:46:53,-2788,936,16088,184
14:46:53,-2704,936,16072,188
14:46:53,-2776,924,16120,169
14:46:53,-2804,904,16016,199
14:46:53,-2784,912,16104,185
14:46:53,-2840,920,16132,176
14:46:53,-2812,884,16016,189
14:46:53,-2784,896,16048,176
14:46:53,-2816,880,16044,182
14:46:53,-2800,836,16076,175
14:46:53,-2788,852,16060,180
14:46:53,-2808,828,16164,207
14:46:53,-2740,904,16044,182
14:46:53,-2840,888,16104,179
14:46:53,-2852,908,16084,177
14:46:53,-2844,844,16100,180
14:46:53,-2896,776,16004,191
14:46:53,-2880,900,16104,172
14:46:53,-2824,936,16096,172
14:46:53,-2776,964,16068,182
14:46:53,-2752,940,16084,179
14:46:53,-2764,860,16180,154
14:46:53,-2860,860,16108,182
14:46:53,-2884,880,16160,176
14:46:53,-2824,924,16008,182
14:46:53,-2824,956,16180,182
14:46:53,-2728,944,16132,174
14:46:53,-2776,932,16144,181
14:46:53,-2860,880,16060,187
14:46:53,-2876,836,16144,182
14:46:53,-2888,884,16032,189
14:46:53,-2752,912,16088,171
14:46:53,-2648,860,16096,177
14:46:53,-2788,940,16020,178
14:46:53,-2832,828,16120,181
14:46:53,-2924,868,16124,210
14:46:53,-2896,908,16056,177
14:46:53,-2788,868,16088,179
14:46:53,-2764,916,16128,183
14:46:54,-2796,888,16144,182
14:46:54,-2776,924,16096,192
14:46:54,-2804,888,16012,154
14:46:54,-2760,880,16104,186
14:46:54,-2788,896,16092,183
14:46:54,-2780,900,16056,156
14:46:54,-2880,948,16072,180
14:46:54,-2912,956,15992,176
14:46:54,-2796,920,16080,187
14:46:54,-2828,856,16056,182
14:46:54,-2788,848,16080,165
14:46:54,-2796,852,16080,183
14:46:54,-2752,932,16080,177
14:46:54,-2820,860,16088,172
14:46:54,-2812,936,16092,185
14:46:54,-2872,904,16092,166
14:46:54,-2896,912,16084,181
14:46:54,-2828,864,16080,178
14:46:54,-2784,892,16120,177
14:46:54,-2800,912,16088,212
14:46:54,-2780,956,16088,161
14:46:54,-2824,920,16088,182
14:46:54,-2740,888,16056,171
14:46:54,-2852,924,16084,188
14:46:54,-2812,888,16116,182
14:46:54,-2840,840,16080,174
14:46:54,-2860,916,16024,174
14:46:54,-2848,856,16112,184
14:46:54,-2780,920,16080,153
14:46:54,-2832,952,16020,176
14:46:54,-2832,880,16036,180
14:46:54,-2864,868,16008,183
14:46:54,-2812,976,16072,177
14:46:54,-2852,896,16108,161
14:46:54,-2804,944,16076,178
14:46:54,-2792,948,16072,176
14:46:54,-2808,952,16104,180
14:46:54,-2832,960,16068,186
14:46:54,-2852,928,16064,170
14:46:54,-2792,916,16072,212
14:46:54,-2796,848,16076,178
14:46:54,-2860,928,16028,182
14:46:54,-2808,872,16068,225
14:46:54,-2820,880,16116,173
14:46:54,-2788,920,16072,182
14:46:55,-2792,876,16060,181
14:46:55,-2864,884,16100,179
14:46:55,-2864,812,16124,181
14:46:55,-2784,956,16068,173
14:46:55,-2836,896,16032,176
14:46:55,-2864,856,16084,179
14:46:55,-2848,920,16152,180
14:46:55,-2852,928,16168,149
14:46:55,-2840,900,16080,182
14:46:55,-2820,924,16048,175
14:46:55,-2868,828,16120,178
14:46:55,-2772,860,16076,181
