Timestamp,AccX,AccY,AccZ,Heart_IR
14:15:58,-6120,176,15084,0
14:15:58,-6168,264,15040,0
14:15:58,-6164,296,15076,0
14:15:58,-6124,240,15060,0
14:15:58,-6176,252,15056,0
14:15:59,-6160,212,15028,0
14:15:59,-6156,308,15144,0
14:15:59,-6232,176,15076,0
14:15:59,-6192,220,15036,0
14:15:59,-6160,276,15056,0
14:15:59,-6156,292,15056,0
14:15:59,-6128,208,15124,0
14:15:59,-6240,288,15096,0
14:15:59,-6164,284,15048,0
14:15:59,-6176,252,15100,0
14:15:59,-6200,212,15120,0
14:15:59,-6160,292,15104,0
14:15:59,-6188,252,15112,0
14:15:59,-6216,260,15052,0
14:15:59,-6172,208,15132,0
14:15:59,-6160,216,15096,0
14:15:59,-6164,308,15092,0
14:15:59,-6136,280,15116,0
14:15:59,-6280,240,15120,0
14:15:59,-6196,316,15092,0
14:15:59,-6156,236,15116,0
14:15:59,-6208,280,15112,0
14:15:59,-6140,304,15028,0
14:15:59,-6120,248,15092,0
14:15:59,-6188,236,15168,0
14:16:00,-6176,156,15056,0
14:16:00,-6144,172,15076,0
14:16:00,-6108,288,15104,0
14:16:00,-6232,252,15040,0
14:16:00,-6112,336,15108,0
14:16:00,-6164,340,15056,0
14:16:00,-6224,280,15124,0
14:16:00,-6224,276,15092,0
14:16:00,-6132,284,15100,0
14:16:00,-6148,228,15184,0
14:16:00,-6176,252,15028,0
14:16:00,-6156,308,15100,0
14:16:00,-6116,256,15124,0
14:16:00,-6188,228,15144,0
14:16:00,-6176,196,15184,0
14:16:00,-6080,268,15100,0
14:16:00,-6132,288,15128,0
14:16:00,-6200,220,15052,0
14:16:00,-6136,244,15180,0
14:16:00,-6172,192,15112,0
14:16:00,-6280,316,15096,0
14:16:00,-6140,224,15132,0
14:16:00,-6140,252,15052,0
14:16:00,-6148,248,15104,0
14:16:00,-6164,264,15136,0
14:16:01,-6144,260,15076,0
14:16:01,-6192,268,15160,0
14:16:01,-6196,252,15076,0
14:16:01,-6248,192,15092,0
14:16:01,-6220,212,15084,0
14:16:01,-6188,288,15184,0
14:16:01,-6196,168,15112,0
14:16:01,-6144,264,15100,0
14:16:01,-6168,260,15160,0
14:16:01,-6168,268,15096,0
14:16:01,-6152,240,15100,0
14:16:01,-6140,312,15124,0
14:16:01,-6156,228,15096,0
14:16:01,-6112,260,15176,0
14:16:01,-6128,248,15112,0
14:16:01,-6176,240,15068,0
14:16:01,-6144,208,15140,0
14:16:01,-6068,240,15148,0
14:16:01,-6116,268,15084,0
14:16:01,-6196,172,15136,0
14:16:01,-6172,200,15080,0
14:16:01,-6212,272,15056,0
14:16:01,-6232,312,15068,0
14:16:01,-6164,244,15100,0
14:16:01,-6164,256,15072,0
14:16:02,-6164,224,15072,0
14:16:02,-6196,200,15108,0
14:16:02,-6104,204,15092,0
14:16:02,-6128,228,15084,0
14:16:02,-6184,232,15096,0
14:16:02,-6144,260,15092,0
14:16:02,-6068,276,15060,0
14:16:02,-6168,220,15076,0
14:16:02,-6116,312,15020,0
14:16:02,-6128,328,15116,0
14:16:02,-6196,252,15120,0
14:16:02,-6120,260,15056,0
14:16:02,-6076,192,15048,0
14:16:02,-6196,232,15120,0
14:16:02,-6124,284,15088,0
14:16:02,-6112,240,15044,0
14:16:02,-6224,228,15100,0
14:16:02,-6128,216,15044,0
14:16:02,-6136,196,15128,0
14:16:02,-6128,220,15080,0
14:16:02,-6160,264,15084,0
14:16:02,-6132,252,15100,0
14:16:02,-6096,280,15100,0
14:16:02,-6264,280,15160,0
14:16:02,-6192,224,15124,0
14:16:03,-6136,212,15116,0
14:16:03,-6168,192,15080,0
14:16:03,-6204,236,15084,0
14:16:03,-6208,260,15116,0
14:16:03,-6124,232,15100,0
14:16:03,-6164,308,15156,0
14:16:03,-6128,252,15112,0
14:16:03,-6168,232,15152,0
14:16:03,-6160,256,15128,0
14:16:03,-6180,200,15152,0
14:16:03,-6184,248,15140,0
14:16:03,-6108,276,15144,0
14:16:03,-6152,224,15132,0
14:16:03,-6104,268,15096,0
14:16:03,-6176,280,15132,0
14:16:03,-6116,276,15088,0
14:16:03,-6100,236,15124,0
14:16:03,-6136,240,15124,0
14:16:03,-6184,236,15156,0
14:16:03,-6116,200,15184,0
14:16:03,-6160,252,15160,0
14:16:03,-6076,228,15156,0
14:16:03,-6180,224,15140,0
14:16:03,-6124,292,15132,0
14:16:03,-6136,216,15160,0
14:16:04,-6128,276,15116,0
14:16:04,-6144,296,15124,0
14:16:04,-6104,200,15124,0
14:16:04,-6152,260,15112,0
14:16:04,-6068,208,15164,0
14:16:04,-6164,244,15124,0
14:16:04,-6148,220,15156,0
14:16:04,-6072,256,15052,0
14:16:04,-6136,212,15140,0
14:16:04,-6120,240,15136,0
14:16:04,-6136,220,15144,0
14:16:04,-6148,228,15112,0
14:16:04,-6128,268,15168,0
14:16:04,-6132,204,15124,0
14:16:04,-6152,304,15008,0
14:16:04,-6116,272,15140,0
14:16:04,-6184,220,15088,0
14:16:04,-6168,296,15008,0
14:16:04,-6244,196,15092,0
14:16:04,-6112,304,15092,0
14:16:04,-6148,216,15096,0
14:16:04,-6132,184,15144,0
14:16:04,-6168,272,15088,0
14:16:04,-6108,228,15140,0
14:16:04,-6104,300,15112,0
14:16:05,-6160,212,15056,0
14:16:05,-6108,212,15056,0
14:16:05,-6148,288,15152,0
14:16:05,-6140,256,15088,0
14:16:05,-6132,264,15108,0
14:16:05,-6128,228,15076,0
14:16:05,-6140,224,15164,0
14:16:05,-6224,244,14900,0
14:16:05,-6112,204,14956,0
14:16:05,-6176,220,14976,0
14:16:05,-6172,204,15012,0
14:16:05,-6196,164,14572,0
14:16:05,-5948,256,15416,0
14:16:05,-5976,264,15272,0
14:16:05,-5980,392,14956,0
14:16:05,-6020,224,15488,0
14:16:05,-5880,112,15424,0
14:16:05,-5828,340,15400,0
14:16:05,-5732,108,15352,0
14:16:05,-6216,312,14704,0
14:16:05,-5956,136,15568,0
14:16:05,-6408,332,14392,0
14:16:05,-6164,336,15196,0
14:16:05,-6224,320,15156,0
14:16:05,-6112,88,15108,0
14:16:06,-5868,676,14900,0
14:16:06,-5868,124,15312,0
14:16:06,-5888,228,15852,0
14:16:06,-3928,-200,12576,0
14:16:06,-5480,16,15496,0
14:16:06,-6484,-144,15460,0
14:16:06,-6776,996,13192,0
14:16:06,-5688,260,16128,0
14:16:06,-5868,228,15284,0
14:16:06,-5808,88,15588,0
14:16:06,-6140,244,15164,0
14:16:06,-6180,240,15608,0
14:16:06,-6268,208,14784,0
14:16:06,-6212,160,15224,0
14:16:06,-5900,-12,15368,0
14:16:06,-6060,-28,15440,0
14:16:06,-6860,292,14720,0
14:16:06,-6736,424,14584,0
14:16:06,-6692,248,14756,0
14:16:06,-6468,184,15284,0
14:16:06,-6768,176,14836,0
14:16:06,-6580,172,14880,0
14:16:06,-6528,388,15044,0
14:16:06,-6312,184,14788,0
14:16:06,-6084,256,15548,0
14:16:07,-6416,408,14672,0
14:16:07,-6400,200,15076,0
14:16:07,-6384,288,14800,0
14:16:07,-6084,336,15284,0
14:16:07,-6096,104,14832,0
14:16:07,-6328,768,15004,0
14:16:07,-5832,344,15632,0
14:16:07,-6064,232,15248,0
14:16:07,-6004,96,14460,0
14:16:07,-6316,360,14844,0
14:16:07,-5184,-816,14296,0
14:16:07,-6916,400,13616,0
14:16:07,-6584,68,14296,0
14:16:07,-5476,-56,20448,0
14:16:07,-6220,380,14376,0
14:16:07,-5648,196,15160,0
14:16:07,-5524,600,15704,0
14:16:07,-5628,280,14800,0
14:16:07,-5368,184,15616,0
14:16:07,-5980,188,14524,0
14:16:07,-5596,348,16208,0
14:16:07,-5256,60,16016,0
14:16:07,-6080,492,15288,0
14:16:07,-6836,-16,14936,0
14:16:07,-6108,256,15408,0
14:16:08,-6352,280,14964,0
14:16:08,-5964,368,14456,0
14:16:08,-5708,128,16092,0
14:16:08,-5872,572,13664,0
14:16:08,-5208,-92,16700,0
14:16:08,-4760,72,16452,0
14:16:08,-5476,968,15888,0
14:16:08,-5172,72,18024,0
14:16:08,-5484,268,13044,0
14:16:08,-4540,276,16860,0
14:16:08,-5368,296,14832,0
14:16:08,-5204,268,15356,0
14:16:08,-4824,236,15888,0
14:16:08,-4996,280,15488,0
14:16:08,-5216,304,15380,0
14:16:08,-5060,172,15568,0
14:16:08,-4996,268,15540,0
14:16:08,-5008,300,15560,0
14:16:08,-2984,64,15940,0
14:16:08,-5076,124,15616,0
14:16:08,-5116,540,15672,0
14:16:08,-5192,80,15064,0
14:16:08,-1856,124,16212,0
14:16:08,-5776,-336,16900,0
14:16:08,-3560,-1848,15888,0
14:16:09,-4612,808,17660,0
14:16:09,-4356,-1284,14084,0
14:16:09,-5416,-1248,17344,0
14:16:09,-3272,-2812,14428,0
14:16:09,-2892,-2148,16984,0
14:16:09,-2152,-2208,16676,0
14:16:09,-3140,-3252,15340,0
14:16:09,-5064,-3052,16736,0
14:16:09,-3628,-3164,16200,0
14:16:09,-5568,-3416,14836,0
14:16:09,-7032,-3632,18596,0
14:16:09,6136,-788,16036,0
14:16:09,-7816,-3504,13628,0
14:16:09,1320,-4696,21176,0
14:16:09,-6524,-3140,18032,0
14:16:09,-4360,-1384,13780,0
14:16:09,-3460,-696,15924,0
14:16:09,-3176,632,14556,0
14:16:09,-3488,1536,13224,0
14:16:09,-4600,2056,13704,0
14:16:09,-4192,1100,14456,0
14:16:09,-4752,700,15272,0
14:16:09,-5364,868,15508,0
14:16:09,-5164,732,15348,0
14:16:09,-4624,756,15180,0
14:16:10,-4816,632,15368,0
14:16:10,-5040,660,15484,0
14:16:10,-5108,512,15584,0
14:16:10,-4700,604,15880,0
14:16:10,-4692,732,15736,0
14:16:10,-4184,684,14936,0
14:16:10,-4860,752,15576,0
14:16:10,-4948,400,15980,0
14:16:10,-4944,440,15216,0
14:16:10,-4932,532,15648,0
14:16:10,-5120,632,15756,0
14:16:10,-5288,900,15496,0
14:16:10,-5256,780,15416,0
14:16:10,-5280,804,15656,0
14:16:10,-5208,820,15284,0
14:16:10,-5556,744,15248,0
14:16:10,-5448,624,15056,0
14:16:10,-5708,744,15480,0
14:16:10,-5544,764,15168,0
14:16:10,-6152,1308,15072,0
14:16:10,-5864,780,15344,0
14:16:10,-6236,1208,15148,0
14:16:10,-6312,1444,14584,0
14:16:10,-7076,1828,14784,0
14:16:10,-6808,1516,14752,0
14:16:11,-7272,1936,14780,0
14:16:11,-6972,2524,13320,0
14:16:11,-6964,2652,14792,0
14:16:11,-7368,2332,14364,0
14:16:11,-7264,2260,14336,0
14:16:11,-6408,1816,14540,0
14:16:11,-6792,2660,14236,0
14:16:11,-5912,1300,13256,0
