elapsed_ms,ax,ay,az
62517,-1709,163,581
62559,-1751,191,498
62620,-1781,347,432
62629,-1675,859,171
62678,-1804,97,535
62717,-1729,19,510
62770,-1663,194,483
62797,-1759,240,462
62838,-1661,238,521
62877,-1736,230,524
62917,-1740,208,490
62958,-1765,228,525
62998,-1762,175,572
63058,-1753,84,475
63078,-1772,214,457
63117,-1567,281,643
63172,-2111,-139,-209
63232,-1800,280,460
63240,-1801,222,497
63290,-1765,149,514
63318,-1730,153,480
63358,-1712,211,492
63397,-1709,179,478
63469,-1740,310,494
63480,-1813,391,464
63517,-1773,149,521
63558,-1687,137,562
63597,-1746,425,403
63637,-1526,245,658
63677,-1792,229,505
63718,-1776,234,514
63757,-1801,286,453
63799,-1748,271,344
63841,-1791,75,439
63901,-1751,122,485
63910,-1764,39,434
63959,-1795,211,438
64020,-1721,15,406
64030,-1752,-44,416
64078,-1724,146,444
64118,-1812,171,422
64159,-2030,109,293
64199,-1771,67,485
64270,-1686,130,435
64278,-1701,98,493
64318,-1825,30,394
64358,-1750,120,518
64398,-1757,24,456
64438,-1720,1,446
64478,-1761,91,415
64518,-1769,28,464
64580,-1850,-84,402
64680,-1847,56,386
64721,-1775,68,400
64732,-1820,64,371
64740,-1865,102,299
64781,-1766,76,441
64789,-1789,43,443
64850,-1812,-29,364
64891,-1748,165,429
64919,-1736,153,423
64958,-1774,133,502
64998,-8223,-7779,-5690
65069,-2353,513,619
65079,-2038,346,545
65119,-1749,115,377
65158,-1755,182,347
65198,-1730,230,340
65238,-1786,91,347
65278,-1758,45,517
65318,-1784,80,546
65359,-1761,25,520
65433,-1811,180,530
65439,-1806,149,545
65491,-1748,47,469
65534,-1742,142,546
65583,-1742,224,574
65593,-1761,153,550
65638,-1781,65,446
65678,-1777,160,515
65718,-1778,238,585
65758,-1801,197,555
65798,-1794,155,570
65870,-1839,179,525
65880,-1841,190,493
65918,-1730,204,758
65958,-1751,331,713
65998,-1621,289,805
66038,-1513,143,930
66078,-1412,359,880
66138,-1388,390,872
66185,-1358,371,919
66227,-1364,352,911
66291,-1477,377,1044
66301,-1481,317,1054
66310,-1508,280,1021
66360,-1547,389,975
66400,-1402,370,1058
66440,-1317,211,1012
66480,-1186,300,1124
66520,-1167,541,1087
66560,-1089,611,1109
66600,-1055,663,1102
66670,-1074,527,1056
66679,-1085,555,1097
66720,-1200,764,1216
66782,-1291,532,1140
66799,-1298,373,1076
66840,-1365,349,1093
66870,-1375,402,1165
66931,-1023,233,1038
66949,-1053,300,1093
66990,-1274,249,1296
67030,-1601,430,1384
67074,-2004,1054,1466
67136,-1526,14,818
67151,-1297,-237,764
67203,-936,-325,459
67240,-999,60,604
67279,-1230,641,824
67319,-1634,706,1034
67359,-2196,1338,1771
67399,-1705,648,730
67472,-1347,82,471
67482,-1356,124,486
67519,-1634,466,827
67559,-1728,1030,1329
67599,-1459,7,1001
67639,-1345,-1,702
67679,-1506,494,844
67751,-1501,321,908
67760,-1483,239,836
67805,-1566,243,790
67864,-1639,389,911
67871,-1613,340,884
67922,-1520,282,850
67959,-1514,407,885
67999,-1507,355,866
68039,-1532,324,881
68079,-1547,346,897
68119,-1521,323,904
68150,-1517,339,871
68199,-1513,370,910
68271,-1516,367,902
68281,-1494,368,910
68310,-1523,352,888
68350,-1523,341,917
68390,-1522,369,917
68430,-1525,356,896
68474,-1517,345,886
68522,-1520,355,889
68582,-1523,355,902
68629,-1525,343,898
68633,-1505,345,886
68715,-1511,354,917
68723,-1522,369,909
68750,-1529,358,897
68790,-1527,357,910
68830,-1512,354,912
68870,-1518,359,901
68910,-1504,362,918
68950,-1504,374,897
68990,-1530,380,893
69061,-1510,352,914
69070,-1521,343,926
69110,-1507,348,902
69150,-1502,364,899
69190,-1521,355,938
69230,-1513,351,940
69282,-1500,353,907
69333,-1503,384,899
69382,-1496,401,892
69390,-1506,405,881
69430,-1510,388,928
69477,-1533,385,856
69510,-1527,385,857
69550,-1516,422,882
69590,-1508,413,880
69630,-1473,346,919
69670,-1489,306,915
69710,-1582,530,872
69750,-1490,425,953
69790,-1463,459,943
69862,-1466,377,916
69871,-1496,404,918
69927,-1508,422,922
69975,-1483,390,919
70025,-1532,390,883
70035,-1529,371,897
70070,-1520,328,910
70110,-1567,397,933
70150,-1685,412,1011
70191,-1867,401,1010
70262,-1883,731,900
70272,-1826,774,908
70311,-1594,1144,1088
70351,-1272,658,1274
70391,-1143,471,1292
70431,-1003,646,1380
70471,-912,664,1334
70511,-756,695,1490
70575,-551,733,1386
70631,-335,940,1469
70682,-107,1320,1316
70692,-68,1312,1266
70754,349,1049,1310
70762,370,1174,1275
70791,391,1429,1108
70831,471,1478,1038
70872,576,1178,982
70911,549,840,944
70951,627,745,1316
70991,661,1257,1188
71064,802,1138,1201
71072,823,1082,1206
71111,842,1144,1258
71151,893,1152,1272
71191,943,1019,1307
71232,936,1149,1342
71304,933,1152,1341
71313,917,1176,1345
71351,879,1088,1283
71391,835,1177,1269
71464,753,1114,1319
71472,739,1122,1305
71512,745,1017,1337
71551,768,960,1389
71614,758,1029,1427
71673,780,949,1401
71683,760,952,1399
71739,772,1058,1388
71752,794,1090,1361
71791,788,1093,1363
71832,832,1073,1363
71871,840,990,1338
71938,846,1139,1333
71953,825,1172,1348
71991,799,1098,1362
72031,757,1105,1331
72071,708,1117,1329
72111,720,1112,1373
72152,674,1083,1383
72191,697,1015,1451
72255,693,941,1464
72314,720,880,1483
72334,726,958,1506
72384,714,1029,1461
72394,716,1027,1491
72433,719,1092,1515
72493,641,1060,1507
72512,611,1046,1501
72552,544,1031,1488
72592,556,944,1455
72663,537,974,1526
72673,553,944,1530
72713,578,835,1495
72752,617,873,1495
72792,636,917,1515
72832,645,928,1529
72872,598,883,1518
72912,577,861,1537
72952,501,869,1565
72992,484,753,1591
73034,430,825,1632
73120,336,674,1720
73125,339,645,1734
73185,356,588,1773
73194,356,621,1764
73253,392,677,1745
73295,381,704,1709
73312,387,722,1670
73352,385,746,1672
73392,370,709,1612
73457,442,667,1551
73473,468,668,1545
73512,525,750,1614
73552,479,817,1616
73592,466,795,1639
73632,452,683,1642
73672,449,715,1650
73712,431,685,1682
73753,445,629,1684
73792,415,724,1667
73877,495,631,1637
73885,504,647,1647
73945,550,641,1647
73953,552,656,1634
73999,570,686,1659
74032,558,671,1572
74072,626,741,1620
74112,527,828,1598
74152,603,723,1598
74192,506,796,1620
74259,434,725,1720
74273,395,797,1708
74312,364,742,1656
74352,456,563,1662
74393,464,833,1576
74432,502,898,1557
74474,470,926,1542
74538,482,1003,1400
74596,614,963,1553
74637,624,1012,1553
74646,615,1195,1474
74698,601,1032,1510
74714,573,1040,1505
74754,531,838,1541
74794,476,853,1543
74834,563,764,1584
74874,499,294,1669
74914,590,1164,1577
74953,537,399,1702
74994,607,720,1701
75066,608,630,1684
75075,625,669,1650
75114,628,558,1705
75154,644,687,1671
75194,613,848,1591
75258,584,841,1591
75304,617,631,1660
75316,609,570,1686
75368,620,729,1624
75393,604,740,1599
75461,596,782,1587
75476,595,821,1581
75514,595,689,1610
75553,640,827,1595
75593,663,808,1587
75633,700,625,1694
75673,689,957,1534
75713,643,997,1523
75753,552,747,1582
75793,562,508,1672
75866,538,485,1711
75874,609,452,1682
75914,636,865,1617
75953,659,759,1637
76003,634,650,1645
76034,620,733,1630
76083,645,769,1608
76148,614,788,1586
76155,640,782,1600
76204,643,718,1615
76266,636,715,1635
76273,646,732,1618
76313,630,719,1625
76353,618,707,1615
76404,636,757,1600
76434,633,685,1612
76475,637,706,1631
76514,630,742,1618
76554,646,703,1620
76594,644,718,1619
76634,636,756,1609
76705,651,715,1611
76715,648,726,1629
76754,637,715,1611
76827,593,685,1576
76867,592,729,1565
76876,686,888,1590
